2023-07-07T04:26:09.268-0400 DEBUG Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
2023-07-07T04:26:09.276-0400 DEBUG Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
2023-07-07T04:26:09.307-0400 INFO HHH000412: Hibernate ORM core version 6.1.7.Final
2023-07-07T04:26:09.309-0400 DEBUG HHH000206: hibernate.properties not found
2023-07-07T04:26:09.471-0400 DEBUG Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
2023-07-07T04:26:09.471-0400 DEBUG Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
2023-07-07T04:26:09.476-0400 DEBUG Building session factory using provided StandardServiceRegistry
2023-07-07T04:26:09.486-0400 DEBUG Resolving IdentifierGenerator instances will not use CDI as it was not configured
2023-07-07T04:26:09.489-0400 DEBUG Registering IdentifierGenerator strategy [uuid2] -> [org.hibernate.id.UUIDGenerator]
2023-07-07T04:26:09.490-0400 DEBUG Registering IdentifierGenerator strategy [guid] -> [org.hibernate.id.GUIDGenerator]
2023-07-07T04:26:09.491-0400 DEBUG Registering IdentifierGenerator strategy [uuid] -> [org.hibernate.id.UUIDHexGenerator]
2023-07-07T04:26:09.491-0400 DEBUG Registering IdentifierGenerator strategy [uuid.hex] -> [org.hibernate.id.UUIDHexGenerator]
2023-07-07T04:26:09.492-0400 DEBUG Registering IdentifierGenerator strategy [assigned] -> [org.hibernate.id.Assigned]
2023-07-07T04:26:09.492-0400 DEBUG Registering IdentifierGenerator strategy [identity] -> [org.hibernate.id.IdentityGenerator]
2023-07-07T04:26:09.493-0400 DEBUG Registering IdentifierGenerator strategy [select] -> [org.hibernate.id.SelectGenerator]
2023-07-07T04:26:09.494-0400 DEBUG Registering IdentifierGenerator strategy [sequence] -> [org.hibernate.id.enhanced.SequenceStyleGenerator]
2023-07-07T04:26:09.494-0400 DEBUG Registering IdentifierGenerator strategy [increment] -> [org.hibernate.id.IncrementGenerator]
2023-07-07T04:26:09.495-0400 DEBUG Registering IdentifierGenerator strategy [foreign] -> [org.hibernate.id.ForeignGenerator]
2023-07-07T04:26:09.495-0400 DEBUG Registering IdentifierGenerator strategy [enhanced-sequence] -> [org.hibernate.id.enhanced.SequenceStyleGenerator]
2023-07-07T04:26:09.496-0400 DEBUG Registering IdentifierGenerator strategy [enhanced-table] -> [org.hibernate.id.enhanced.TableGenerator]
2023-07-07T04:26:09.500-0400 DEBUG Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
2023-07-07T04:26:09.501-0400 DEBUG Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
2023-07-07T04:26:09.563-0400 DEBUG addDescriptor(FloatTypeDescriptor) replaced previous registration(DoubleTypeDescriptor)
2023-07-07T04:26:09.571-0400 DEBUG Adding type registration boolean -> org.hibernate.type.BasicTypeReference@47f4e407
2023-07-07T04:26:09.572-0400 DEBUG Adding type registration boolean -> org.hibernate.type.BasicTypeReference@47f4e407
2023-07-07T04:26:09.572-0400 DEBUG Adding type registration java.lang.Boolean -> org.hibernate.type.BasicTypeReference@47f4e407
2023-07-07T04:26:09.572-0400 DEBUG Adding type registration numeric_boolean -> org.hibernate.type.BasicTypeReference@2d1dee39
2023-07-07T04:26:09.572-0400 DEBUG Adding type registration org.hibernate.type.NumericBooleanConverter -> org.hibernate.type.BasicTypeReference@2d1dee39
2023-07-07T04:26:09.572-0400 DEBUG Adding type registration true_false -> org.hibernate.type.BasicTypeReference@48d5f34e
2023-07-07T04:26:09.572-0400 DEBUG Adding type registration org.hibernate.type.TrueFalseConverter -> org.hibernate.type.BasicTypeReference@48d5f34e
2023-07-07T04:26:09.572-0400 DEBUG Adding type registration yes_no -> org.hibernate.type.BasicTypeReference@fc258b1
2023-07-07T04:26:09.572-0400 DEBUG Adding type registration org.hibernate.type.YesNoConverter -> org.hibernate.type.BasicTypeReference@fc258b1
2023-07-07T04:26:09.572-0400 DEBUG Adding type registration byte -> org.hibernate.type.BasicTypeReference@6ff65192
2023-07-07T04:26:09.572-0400 DEBUG Adding type registration byte -> org.hibernate.type.BasicTypeReference@6ff65192
2023-07-07T04:26:09.572-0400 DEBUG Adding type registration java.lang.Byte -> org.hibernate.type.BasicTypeReference@6ff65192
2023-07-07T04:26:09.572-0400 DEBUG Adding type registration binary -> org.hibernate.type.BasicTypeReference@2dd80673
2023-07-07T04:26:09.572-0400 DEBUG Adding type registration byte[] -> org.hibernate.type.BasicTypeReference@2dd80673
2023-07-07T04:26:09.572-0400 DEBUG Adding type registration [B -> org.hibernate.type.BasicTypeReference@2dd80673
2023-07-07T04:26:09.573-0400 DEBUG Adding type registration binary_wrapper -> org.hibernate.type.BasicTypeReference@4af0df05
2023-07-07T04:26:09.573-0400 DEBUG Adding type registration wrapper-binary -> org.hibernate.type.BasicTypeReference@4af0df05
2023-07-07T04:26:09.573-0400 DEBUG Adding type registration Byte[] -> org.hibernate.type.BasicTypeReference@4af0df05
2023-07-07T04:26:09.573-0400 DEBUG Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.BasicTypeReference@4af0df05
2023-07-07T04:26:09.573-0400 DEBUG Adding type registration image -> org.hibernate.type.BasicTypeReference@57ea113a
2023-07-07T04:26:09.573-0400 DEBUG Adding type registration blob -> org.hibernate.type.BasicTypeReference@acdb094
2023-07-07T04:26:09.573-0400 DEBUG Adding type registration java.sql.Blob -> org.hibernate.type.BasicTypeReference@acdb094
2023-07-07T04:26:09.573-0400 DEBUG Adding type registration materialized_blob -> org.hibernate.type.BasicTypeReference@674bd420
2023-07-07T04:26:09.574-0400 DEBUG Adding type registration materialized_blob_wrapper -> org.hibernate.type.BasicTypeReference@2b0f373b
2023-07-07T04:26:09.574-0400 DEBUG Adding type registration short -> org.hibernate.type.BasicTypeReference@2ceb80a1
2023-07-07T04:26:09.574-0400 DEBUG Adding type registration short -> org.hibernate.type.BasicTypeReference@2ceb80a1
2023-07-07T04:26:09.574-0400 DEBUG Adding type registration java.lang.Short -> org.hibernate.type.BasicTypeReference@2ceb80a1
2023-07-07T04:26:09.574-0400 DEBUG Adding type registration integer -> org.hibernate.type.BasicTypeReference@4b45dcb8
2023-07-07T04:26:09.574-0400 DEBUG Adding type registration int -> org.hibernate.type.BasicTypeReference@4b45dcb8
2023-07-07T04:26:09.574-0400 DEBUG Adding type registration java.lang.Integer -> org.hibernate.type.BasicTypeReference@4b45dcb8
2023-07-07T04:26:09.574-0400 DEBUG Adding type registration long -> org.hibernate.type.BasicTypeReference@7216fb24
